timestamp,CAP,time
1473452992,45,2.57
1473452999,50,2.53
1473453006,75,1.54
1473453013,70,1.62
1473453019,95,1.08
1473453026,65,1.72
1473453032,90,1.10
1473453038,100,0.89
1473453044,85,1.12
1473453051,60,2.02
1473453060,35,3.54
1473453067,55,2.17
1473453084,15,11.58
1473453092,40,3.05
1473453101,30,4.73
1473453108,80,1.33
1473453121,20,8.31
1473453140,15,13.62
1473453147,80,1.35
1473453155,50,2.48
1473453162,65,1.65
1473453169,55,2.02
1473453177,40,3.34
1473453187,30,4.43
1473453194,45,2.66
1473453207,20,7.40
1473453213,70,1.48
1473453237,10,18.88
1473453244,85,1.28
1473453250,100,1.04
1473453259,35,3.96
1473453266,60,1.85
1473453272,95,1.09
1473453278,75,1.41
1473453284,90,1.12
1473453295,25,5.70
1473453303,55,1.98
1473453312,35,3.53
1473453318,70,1.57
1473453324,95,1.13
1473453334,30,4.67
1473453341,65,1.78
1473453348,75,1.39
1473453361,20,8.62
1473453372,25,5.52
1473453400,10,23.12
1473453408,40,3.04
1473453415,80,1.37
1473453421,85,1.28
1473453427,90,1.12
1473453435,45,2.76
1473453452,15,11.93
1473453459,60,1.94
1473453466,50,2.23
1473453472,100,0.97
1473453479,55,2.09
1473453486,60,1.95
1473453499,20,7.07
1473453508,35,4.04
1473453517,30,4.54
1473453524,80,1.36
1473453530,95,1.08
1473453538,45,2.66
1473453564,10,21.61
1473453570,100,1.03
1473453590,15,14.18
1473453597,50,2.37
1473453603,90,1.15
1473453610,75,1.44
1473453617,65,1.79
1473453627,25,5.70
1473453634,85,1.33
1473453642,40,3.14
1473453649,70,1.69
